ensembl	gene_name
ENSG00000001167	NFYA
ENSG00000005700	IBTK
ENSG00000068079	IFI35
ENSG00000162367	TAL1
ENSG00000162374	ELAVL4
ENSG00000162378	ZYG11B
ENSG00000162383	SLC1A7
ENSG00000162390	ACOT11
ENSG00000162391	FAM151A
ENSG00000068097	HEATR6
ENSG00000162396	PARS2
ENSG00000162398	LEXM
ENSG00000162399	BSND
ENSG00000162402	USP24
ENSG00000162407	PLPP3
ENSG00000162408	NOL9
ENSG00000162409	PRKAA2
ENSG00000162413	KLHL21
ENSG00000162426	SLC45A1
ENSG00000162433	AK4
ENSG00000162434	JAK1
ENSG00000162437	RAVER2
ENSG00000162438	CTRC
ENSG00000162441	LZIC
ENSG00000162444	RBP7
ENSG00000162458	FBLIM1
ENSG00000068137	PLEKHH3
ENSG00000162460	TMEM82
ENSG00000162461	SLC25A34
ENSG00000162493	PDPN
ENSG00000162494	LRRC38
ENSG00000162496	DHRS3
ENSG00000162510	MATN1
ENSG00000162511	LAPTM5
ENSG00000162512	SDC3
ENSG00000162517	PEF1
ENSG00000162520	SYNC
ENSG00000162522	KIAA1522
ENSG00000162526	TSSK3
ENSG00000162542	TMCO4
ENSG00000162551	ALPL
ENSG00000162552	WNT4
ENSG00000162571	TTLL10
ENSG00000162576	MXRA8
ENSG00000162591	MEGF6
ENSG00000162592	CCDC27
ENSG00000162594	IL23R
ENSG00000162598	C1orf87
ENSG00000162599	NFIA
ENSG00000162600	OMA1
ENSG00000162604	TM2D1
ENSG00000068323	TFE3
ENSG00000162607	USP1
ENSG00000162613	FUBP1
ENSG00000162614	NEXN
ENSG00000162616	DNAJB4
ENSG00000162621	LRRC53
ENSG00000162623	TYW3
ENSG00000162624	LHX8
ENSG00000068354	TBC1D25
ENSG00000162631	NTNG1
ENSG00000162643	WDR63
ENSG00000162664	ZNF326
ENSG00000068366	ACSL4
ENSG00000162670	BRINP3
ENSG00000162676	GFI1
ENSG00000162687	KCNT2
ENSG00000162694	EXTL2
ENSG00000162695	SLC30A7
ENSG00000162702	ZNF281
ENSG00000068383	INPP5A
ENSG00000162706	CADM3
ENSG00000162722	TRIM58
ENSG00000162723	SLAMF9
ENSG00000162728	KCNJ9
ENSG00000162729	IGSF8
ENSG00000162733	DDR2
ENSG00000162734	PEA15
ENSG00000162736	NCSTN
ENSG00000162738	VANGL2
ENSG00000162745	OLFML2B
ENSG00000162746	FCRLB
ENSG00000162755	KLHDC9
ENSG00000162757	C1orf74
ENSG00000162761	LMX1A
ENSG00000162763	LRRC52
ENSG00000068400	GRIPAP1
ENSG00000162769	FLVCR1
ENSG00000162775	RBM15
ENSG00000162777	DENND2D
ENSG00000162779	AXDND1
ENSG00000162782	TDRD5
ENSG00000162804	SNED1
ENSG00000162813	BPNT1
ENSG00000162814	SPATA17
ENSG00000162817	C1orf115
ENSG00000162819	BROX
ENSG00000162836	ACP6
ENSG00000162849	KIF26B
ENSG00000162852	CNST
ENSG00000162869	PPP1R21
ENSG00000162873	KLHDC8A
ENSG00000162877	PM20D1
ENSG00000162878	PKDCC
ENSG00000162882	HAAO
ENSG00000162885	B3GALNT2
ENSG00000162889	MAPKAPK2
ENSG00000162891	IL20
ENSG00000162892	IL24
ENSG00000162894	FCMR
ENSG00000162896	PIGR
ENSG00000068615	REEP1
ENSG00000162909	CAPN2
ENSG00000162923	WDR26
ENSG00000162924	REL
ENSG00000162927	PUS10
ENSG00000162929	KIAA1841
ENSG00000068650	ATP11A
ENSG00000162944	RFTN2
ENSG00000162946	DISC1
ENSG00000162951	LRRTM1
ENSG00000162959	MEMO1
ENSG00000162961	DPY30
ENSG00000162971	TYW5
ENSG00000162975	KCNF1
ENSG00000162976	PQLC3
ENSG00000068654	POLR1A
ENSG00000162981	FAM84A
ENSG00000162989	KCNJ3
ENSG00000162992	NEUROD1
ENSG00000162998	FRZB
ENSG00000162999	DUSP19
ENSG00000163001	CFAP36
ENSG00000163006	CCDC138
ENSG00000068697	LAPTM4A
ENSG00000163012	ZSWIM2
ENSG00000163013	FBXO41
ENSG00000163017	ACTG2
ENSG00000163032	VSNL1
ENSG00000163050	COQ8A
ENSG00000163053	SLC16A14
ENSG00000163064	EN1
ENSG00000068724	TTC7A
ENSG00000163069	SGCB
ENSG00000163071	SPATA18
ENSG00000163072	NOSTRIN
ENSG00000163082	SGPP2
ENSG00000163083	INHBB
ENSG00000163092	XIRP2
ENSG00000163104	SMARCAD1
ENSG00000163106	HPGDS
ENSG00000068745	IP6K2
ENSG00000163110	PDLIM5
ENSG00000163116	STPG2
ENSG00000163121	NEURL3
ENSG00000163125	RPRD2
ENSG00000163126	ANKRD23
ENSG00000163131	CTSS
ENSG00000163132	MSX1
ENSG00000005810	MYCBP2
ENSG00000163154	TNFAIP8L2
ENSG00000163155	LYSMD1
ENSG00000163156	SCNM1
ENSG00000163157	TMOD4
ENSG00000163159	VPS72
ENSG00000163161	ERCC3
ENSG00000163162	RNF149
ENSG00000163166	IWS1
ENSG00000068784	SRBD1
ENSG00000163209	SPRR3
ENSG00000163214	DHX57
ENSG00000163217	BMP10
ENSG00000163219	ARHGAP25
ENSG00000163221	S100A12
ENSG00000163235	TGFA
ENSG00000163239	TDRD10
ENSG00000068796	KIF2A
ENSG00000163249	CCNYL1
ENSG00000163251	FZD5
ENSG00000163263	C1orf189
ENSG00000163273	NPPC
ENSG00000163281	GNPDA2
ENSG00000163285	GABRG1
ENSG00000163288	GABRB1
ENSG00000163291	PAQR3
ENSG00000163293	NIPAL1
ENSG00000163297	ANTXR2
ENSG00000163312	HELQ
ENSG00000163328	GPR155
ENSG00000163331	DAPL1
ENSG00000163344	PMVK
ENSG00000163346	PBXIP1
ENSG00000163347	CLDN1
ENSG00000163348	PYGO2
ENSG00000163349	HIPK1
ENSG00000163354	DCST2
ENSG00000163357	DCST1
ENSG00000163359	COL6A3
ENSG00000163376	KBTBD8
ENSG00000163377	FAM19A4
ENSG00000163378	EOGT
ENSG00000163380	LMOD3
ENSG00000163382	NAXE
ENSG00000163389	POGLUT1
ENSG00000163393	SLC22A15
ENSG00000163394	CCKAR
ENSG00000163399	ATP1A1
ENSG00000163412	EIF4E3
ENSG00000068903	SIRT2
ENSG00000163421	PROK2
ENSG00000163428	LRRC58
ENSG00000163430	FSTL1
ENSG00000163431	LMOD1
ENSG00000163435	ELF3
ENSG00000163453	IGFBP7
ENSG00000163462	TRIM46
ENSG00000163466	ARPC2
ENSG00000163467	TSACC
ENSG00000163472	TMEM79
ENSG00000163479	SSR2
ENSG00000163481	RNF25
ENSG00000163482	STK36
ENSG00000163485	ADORA1
ENSG00000163491	NEK10
ENSG00000163497	FEV
ENSG00000163501	IHH
ENSG00000163507	CIP2A
ENSG00000163508	EOMES
ENSG00000163513	TGFBR2
ENSG00000068976	PYGM
ENSG00000163516	ANKZF1
ENSG00000163519	TRAT1
ENSG00000163520	FBLN2
ENSG00000163521	GLB1L
ENSG00000163527	STT3B
ENSG00000163531	NFASC
ENSG00000163534	FCRL1
ENSG00000005812	FBXL3
ENSG00000163536	SERPINI1
ENSG00000163539	CLASP2
ENSG00000163541	SUCLG1
ENSG00000163545	NUAK2
ENSG00000163554	SPTA1
ENSG00000163558	PRKCI
ENSG00000163576	EFHB
ENSG00000163586	FABP1
ENSG00000163596	ICA1L
ENSG00000163599	CTLA4
ENSG00000163600	ICOS
ENSG00000163602	RYBP
ENSG00000163607	GTPBP8
ENSG00000163608	NEPRO
ENSG00000069018	TRPC7
ENSG00000163611	SPICE1
ENSG00000163617	CCDC191
ENSG00000163618	CADPS
ENSG00000163623	NKX6-1
ENSG00000163624	CDS1
ENSG00000163625	WDFY3
ENSG00000163626	COX18
ENSG00000163630	SYNPR
ENSG00000163631	ALB
ENSG00000163632	C3orf49
ENSG00000163635	ATXN7
ENSG00000163636	PSMD6
ENSG00000163637	PRICKLE2
ENSG00000163638	ADAMTS9
ENSG00000163644	PPM1K
ENSG00000163645	ERICH6
ENSG00000163646	CLRN1
ENSG00000163655	GMPS
ENSG00000069122	ADGRF5
ENSG00000163659	TIPARP
ENSG00000163660	CCNL1
ENSG00000163661	PTX3
ENSG00000163673	DCLK3
ENSG00000163681	SLMAP
ENSG00000163684	RPP14
ENSG00000163686	ABHD6
ENSG00000163687	DNASE1L3
ENSG00000069188	SDK2
ENSG00000163689	C3orf67
ENSG00000163697	APBB2
ENSG00000163701	IL17RE
ENSG00000163702	IL17RC
ENSG00000163703	CRELD1
ENSG00000163704	PRRT3
ENSG00000163705	FANCD2OS
ENSG00000163710	PCOLCE2
ENSG00000069206	ADAM7
ENSG00000163719	MTMR14
ENSG00000163728	TTC14
ENSG00000163738	MTHFD2L
ENSG00000163743	RCHY1
ENSG00000163749	CCDC158
ENSG00000163751	CPA3
ENSG00000163755	HPS3
ENSG00000163762	TM4SF18
ENSG00000069248	NUP133
ENSG00000163785	RYK
ENSG00000163792	TCF23
ENSG00000163793	DNAJC5G
ENSG00000163794	UCN
ENSG00000163795	ZNF513
ENSG00000163803	PLB1
ENSG00000163807	KIAA1143
ENSG00000163808	KIF15
ENSG00000163811	WDR43
ENSG00000163812	ZDHHC3
ENSG00000163814	CDCP1
ENSG00000163815	CLEC3B
ENSG00000163820	FYCO1
ENSG00000069329	VPS35
ENSG00000163832	ELP6
ENSG00000163833	FBXO40
ENSG00000163840	DTX3L
ENSG00000163848	ZNF148
ENSG00000163864	NMNAT3
ENSG00000163866	SMIM12
ENSG00000005844	ITGAL
ENSG00000163870	TPRA1
ENSG00000163872	YEATS2
ENSG00000163873	GRIK3
ENSG00000163874	ZC3H12A
ENSG00000163879	DNALI1
ENSG00000163882	POLR2H
ENSG00000163884	KLF15
ENSG00000163885	CFAP100
ENSG00000069399	BCL3
ENSG00000163888	CAMK2N2
ENSG00000163898	LIPH
ENSG00000163900	TMEM41A
ENSG00000163909	HEYL
ENSG00000163913	IFT122
ENSG00000163914	RHO
ENSG00000163918	RFC4
ENSG00000069424	KCNAB2
ENSG00000163930	BAP1
ENSG00000163932	PRKCD
ENSG00000163935	SFMBT1
ENSG00000163938	GNL3
ENSG00000163939	PBRM1
ENSG00000163945	UVSSA
ENSG00000163946	FAM208A
ENSG00000163947	ARHGEF3
ENSG00000163950	SLBP
ENSG00000163958	ZDHHC19
ENSG00000163959	SLC51A
ENSG00000163964	PIGX
ENSG00000163975	MELTF
ENSG00000163993	S100P
ENSG00000069482	GAL
ENSG00000163995	ABLIM2
ENSG00000164002	EXO5
ENSG00000164007	CLDN19
ENSG00000164010	ERMAP
ENSG00000164023	SGMS2
ENSG00000164024	METAP1
ENSG00000164035	EMCN
ENSG00000164037	SLC9B1
ENSG00000164038	SLC9B2
ENSG00000164039	BDH2
ENSG00000164045	CDC25A
ENSG00000164050	PLXNB1
ENSG00000164051	CCDC51
ENSG00000164056	SPRY1
ENSG00000164061	BSN
ENSG00000164062	APEH
ENSG00000164066	INTU
ENSG00000164068	RNF123
ENSG00000164070	HSPA4L
ENSG00000164074	ABHD18
ENSG00000069535	MAOB
ENSG00000164076	CAMKV
ENSG00000164077	MON1A
ENSG00000164078	MST1R
ENSG00000164081	TEX264
ENSG00000164086	DUSP7
ENSG00000164087	POC1A
ENSG00000164088	PPM1M
ENSG00000164089	ETNPPL
ENSG00000069667	RORA
ENSG00000164093	PITX2
ENSG00000164099	PRSS12
ENSG00000164100	NDST3
ENSG00000164105	SAP30
ENSG00000164106	SCRG1
ENSG00000164107	HAND2
ENSG00000164111	ANXA5
ENSG00000164113	ADAD1
ENSG00000164116	GUCY1A3
ENSG00000164117	FBXO8
ENSG00000164118	CEP44
ENSG00000164120	HPGD
ENSG00000164122	ASB5
ENSG00000164123	C4orf45
ENSG00000164124	TMEM144
ENSG00000005882	PDK2
ENSG00000069702	TGFBR3
ENSG00000164125	FAM198B
ENSG00000164128	NPY1R
ENSG00000164129	NPY5R
ENSG00000164134	NAA15
ENSG00000164136	IL15
ENSG00000164142	FAM160A1
ENSG00000164151	ICE1
ENSG00000164161	HHIP
ENSG00000164162	ANAPC10
ENSG00000164163	ABCE1
ENSG00000164169	PRMT9
ENSG00000164171	ITGA2
ENSG00000164175	SLC45A2
ENSG00000164176	EDIL3
ENSG00000164181	ELOVL7
ENSG00000164182	NDUFAF2
ENSG00000164187	LMBRD2
ENSG00000164188	RANBP3L
ENSG00000164190	NIPBL
ENSG00000164209	SLC25A46
ENSG00000164219	PGGT1B
ENSG00000069812	HES2
ENSG00000164220	F2RL2
ENSG00000164221	CCDC112
ENSG00000164241	C5orf63
ENSG00000164251	F2RL1
ENSG00000164253	WDR41
ENSG00000069869	NEDD4
ENSG00000164265	SCGB3A2
ENSG00000164270	HTR4
ENSG00000164283	ESM1
ENSG00000164291	ARSK
ENSG00000164292	RHOBTB3
ENSG00000069943	PIGB
ENSG00000164300	SERINC5
ENSG00000164303	ENPP6
ENSG00000164306	PRIMPOL
ENSG00000164307	ERAP1
ENSG00000164309	CMYA5
ENSG00000164318	EGFLAM
ENSG00000164323	CFAP97
ENSG00000164325	TMEM174
ENSG00000164326	CARTPT
ENSG00000164327	RICTOR
ENSG00000164329	PAPD4
ENSG00000164330	EBF1
ENSG00000164332	UBLCP1
ENSG00000164334	FAM170A
ENSG00000164338	UTP15
ENSG00000069966	GNB5
ENSG00000164342	TLR3
ENSG00000164344	KLKB1
ENSG00000164347	GFM2
ENSG00000164362	TERT
ENSG00000164366	CCDC127
ENSG00000164393	ADGRF2
ENSG00000164402	SEPT8
ENSG00000164404	GDF9
ENSG00000164406	LEAP2
ENSG00000164414	SLC35A1
ENSG00000164418	GRIK2
ENSG00000164434	FABP7
ENSG00000164438	TLX3
ENSG00000164440	TXLNB
ENSG00000164451	CALHM4
ENSG00000164458	T
ENSG00000164463	CREBRF
ENSG00000164465	DCBLD1
ENSG00000164466	SFXN1
ENSG00000164483	SAMD3
ENSG00000005884	ITGA3
ENSG00000164484	TMEM200A
ENSG00000164485	IL22RA2
ENSG00000164488	DACT2
ENSG00000164494	PDSS2
ENSG00000164506	STXBP5
ENSG00000164509	IL31RA
ENSG00000164530	PI16
ENSG00000070018	LRP6
ENSG00000164532	TBX20
ENSG00000164535	DAGLB
