node	species	ancestor	time
1	NA	NA	0
2	NA	1	0.2446
3	NA	2	0.2671
4	NA	3	0.3025
5	NA	4	0.3841
6	NA	3	0.2883
7	NA	6	0.3013
8	NA	7	0.5757
9	NA	8	0.6324
10	NA	9	0.6489
11	NA	6	0.3762
12	NA	11	0.3970
13	NA	12	0.4116
14	NA	13	0.4210
15	NA	14	0.4231
16	NA	15	0.4268
17	opossum	1	0.3489
18	armadillo	2	0.4124
19	cow	4	0.5385
20	dog	5	0.4735
21	ferret	5	0.4965
22	rabbit	7	0.5163
23	rat	8	0.6672
24	musCaroli	9	0.6614
25	musSpretus	10	0.6614
26	musMusculus	10	0.6614
27	marmoset	11	0.4445
28	rhesus	12	0.4349
29	orangutan	13	0.4301
30	gorilla	14	0.4298
31	chimp	16	0.4295
32	bonobo	16	0.4295
33	human	15	0.4295
