GENE_NAME	human.mean
NFYA	4.635
IBTK	7.775
IFI35	12.6725
TAL1	3.55
ELAVL4	0.06
ZYG11B	10.81
SLC1A7	0.96
ACOT11	22.0925
FAM151A	1.97
HEATR6	4.32
PARS2	1.8325
LEXM	0.0025
BSND	0.0325
USP24	10.28
PLPP3	47.0625
NOL9	3.335
PRKAA2	21.1825
KLHL21	31.3875
SLC45A1	1.58
AK4	23.5775
JAK1	34.3575
RAVER2	7.6975
CTRC	0.1325
LZIC	11.0075
RBP7	44.295
FBLIM1	43.2475
PLEKHH3	10.875
TMEM82	0.0225
SLC25A34	5.3825
PDPN	20.02
LRRC38	0.0825
DHRS3	39.58
MATN1	0.0825
LAPTM5	19.2225
SDC3	11.2175
PEF1	26.6375
SYNC	7.775
KIAA1522	2.7225
TSSK3	0.885
TMCO4	4.3325
ALPL	17.0925
WNT4	0.0525
TTLL10	0.27
MXRA8	26.3625
MEGF6	4.7325
CCDC27	0.025
IL23R	0.025
C1orf87	0
NFIA	14.355
OMA1	8.39
TM2D1	14.9925
TFE3	20.1925
USP1	3.935
FUBP1	27.4075
NEXN	180.995
DNAJB4	35.4125
LRRC53	0.1425
TYW3	7.46
LHX8	0
TBC1D25	12.905
NTNG1	0.095
WDR63	0.12
ZNF326	7.2875
ACSL4	12.215
BRINP3	0.0925
GFI1	0.155
KCNT2	0.355
EXTL2	2.885
SLC30A7	1.5375
ZNF281	2.18
INPP5A	45.9025
CADM3	6.2675
TRIM58	0.32
SLAMF9	0.07
KCNJ9	0.025
IGSF8	19.2225
DDR2	8.325
PEA15	139.8625
NCSTN	35.4225
VANGL2	1.3675
OLFML2B	3.81
FCRLB	0.3025
KLHDC9	4.095
C1orf74	0.9475
LMX1A	0.065
LRRC52	0.335
GRIPAP1	13.165
FLVCR1	0.65
RBM15	2.5025
DENND2D	1.735
AXDND1	0.005
TDRD5	0.0075
SNED1	8.1825
BPNT1	8.54
SPATA17	1.88
C1orf115	12.3325
BROX	6.4025
ACP6	4.19
KIF26B	1.115
CNST	7.43
PPP1R21	3.965
KLHDC8A	0.1475
PM20D1	0.38
PKDCC	71.3975
HAAO	3.925
B3GALNT2	5.9425
MAPKAPK2	99.9675
IL20	0.005
IL24	0.3275
FCMR	3.3875
PIGR	0.0175
REEP1	6.755
CAPN2	65.7375
WDR26	20.64
REL	0.9275
PUS10	0.92
KIAA1841	12.5675
ATP11A	27.7275
RFTN2	2.59
DISC1	2.4425
LRRTM1	0.5775
MEMO1	18.725
DPY30	27.2
TYW5	1.2275
KCNF1	0.0625
PQLC3	6.895
POLR1A	10.1425
FAM84A	0.67
KCNJ3	0.9625
NEUROD1	0
FRZB	1.9625
DUSP19	1.45
CFAP36	11.02
CCDC138	0.2275
LAPTM4A	139.19
ZSWIM2	0.0275
FBXO41	0.275
ACTG2	9.5375
VSNL1	5.755
COQ8A	151.495
SLC16A14	0.925
EN1	0.015
TTC7A	5.7175
SGCB	28.525
SPATA18	1.225
NOSTRIN	9.65
SGPP2	4.51
INHBB	8.7375
XIRP2	55.105
SMARCAD1	2.635
HPGDS	0.57
IP6K2	26.17
PDLIM5	301.125
STPG2	0.035
NEURL3	0.24
RPRD2	7.065
ANKRD23	3.955
CTSS	8.7825
MSX1	3.9075
MYCBP2	17.1
TNFAIP8L2	1.23
LYSMD1	5.035
SCNM1	11.9725
TMOD4	0.2225
VPS72	18.8325
ERCC3	12.2375
RNF149	10.855
IWS1	14.5075
SRBD1	2.1325
SPRR3	0
DHX57	3.2225
BMP10	1.89
ARHGAP25	3.0425
S100A12	5.8775
TGFA	0.55
TDRD10	5.4375
KIF2A	2.9
CCNYL1	3.2925
FZD5	1.2325
C1orf189	0.235
NPPC	2.08
GNPDA2	5.57
GABRG1	0
GABRB1	0.9875
PAQR3	4.0975
NIPAL1	0.1475
ANTXR2	29.0075
HELQ	4.6075
GPR155	3.39
DAPL1	0.1075
PMVK	37.785
PBXIP1	36.9
CLDN1	0.315
PYGO2	6.9575
HIPK1	13.0225
DCST2	0.435
DCST1	0.08
COL6A3	39.19
KBTBD8	1.1625
FAM19A4	0.02
EOGT	7.52
LMOD3	54.5925
NAXE	70.37
POGLUT1	4.3625
SLC22A15	2.49
CCKAR	0.01
ATP1A1	168.2575
EIF4E3	17.3575
SIRT2	41.6875
PROK2	0.2575
LRRC58	2.325
FSTL1	139.325
LMOD1	16.1425
ELF3	5.1275
IGFBP7	586.2275
TRIM46	0.26
ARPC2	95.4675
TSACC	0.37
TMEM79	1.9125
SSR2	52.1425
RNF25	10.9775
STK36	4.645
ADORA1	4.7225
NEK10	2.325
FEV	0
IHH	0.0075
CIP2A	0.41
EOMES	0.1225
TGFBR2	69.515
PYGM	92.26
ANKZF1	16.0625
TRAT1	0.03
FBLN2	86.01
GLB1L	1.1825
STT3B	29.93
NFASC	6.7725
FCRL1	0.085
FBXL3	16.6225
SERPINI1	2.525
CLASP2	15.1175
SUCLG1	113.635
NUAK2	0.3075
SPTA1	0.1925
PRKCI	4.1075
EFHB	0.2425
FABP1	0.19
ICA1L	1.71
CTLA4	0.2375
ICOS	0.0375
RYBP	2.9225
GTPBP8	9.005
NEPRO	7.59
TRPC7	0
SPICE1	1.81
CCDC191	0.59
CADPS	4.295
NKX6-1	0.01
CDS1	0.2775
WDFY3	6.5775
COX18	5.5575
SYNPR	0.32
ALB	2.9975
C3orf49	0.12
ATXN7	6.405
PSMD6	38.9325
PRICKLE2	2.1175
ADAMTS9	23.295
PPM1K	72.6525
ERICH6	0.4225
CLRN1	0
GMPS	9.3325
ADGRF5	31.415
TIPARP	15.205
CCNL1	19.9825
PTX3	14.5675
DCLK3	0.14
SLMAP	81.6275
RPP14	11.6375
ABHD6	3.6775
DNASE1L3	1.35
SDK2	0.7275
C3orf67	0.095
APBB2	9.4125
IL17RE	0.87
IL17RC	17.72
CRELD1	53.5675
PRRT3	0.5975
FANCD2OS	0.115
PCOLCE2	41.9575
ADAM7	0.0175
MTMR14	22.7875
TTC14	5.0875
MTHFD2L	3.5975
RCHY1	17.6775
CCDC158	0.23
CPA3	1.0325
HPS3	3.085
TM4SF18	5.0325
NUP133	7.7825
RYK	17.355
TCF23	0.0575
DNAJC5G	1.2925
UCN	2.5775
ZNF513	8.12
PLB1	1.2125
KIAA1143	6.1875
KIF15	0.3375
WDR43	5.13
ZDHHC3	24.63
CDCP1	0.22
CLEC3B	105.06
FYCO1	43.525
VPS35	24.625
ELP6	12.075
FBXO40	37.9825
DTX3L	3.915
ZNF148	6.9625
NMNAT3	4.69
SMIM12	29.74
ITGAL	1.6375
TPRA1	16.8225
YEATS2	4.325
GRIK3	0.425
ZC3H12A	3.5875
DNALI1	8.54
POLR2H	22.4225
KLF15	19.0025
CFAP100	0.165
BCL3	64.1175
CAMK2N2	0.0275
LIPH	0.17
TMEM41A	4.6375
HEYL	13.2625
IFT122	11.895
RHO	0
RFC4	3.86
KCNAB2	10.59
BAP1	26.6175
PRKCD	10.005
SFMBT1	3.2575
GNL3	16.2325
PBRM1	10.1475
UVSSA	2.8275
FAM208A	6.8075
ARHGEF3	5.195
SLBP	8.53
ZDHHC19	0.8825
SLC51A	4.3875
PIGX	5.495
MELTF	2.4275
S100P	3.365
GAL	0.0225
ABLIM2	8.83
EXO5	1.26
CLDN19	0.025
ERMAP	1.7675
SGMS2	5.8175
METAP1	20
EMCN	10.8125
SLC9B1	0.1125
SLC9B2	3.465
BDH2	13.3625
CDC25A	0.355
PLXNB1	25.485
CCDC51	5.93
SPRY1	55.05
BSN	0.1375
APEH	64.5625
INTU	1.75
RNF123	20.4225
HSPA4L	2.3175
ABHD18	4.7075
MAOB	60.8575
CAMKV	0
MON1A	5.8275
MST1R	0.655
TEX264	30.425
DUSP7	9.4025
POC1A	0.685
PPM1M	9.82
ETNPPL	3.915
RORA	4.35
PITX2	0.0775
PRSS12	0.11
NDST3	0.0275
SAP30	8.9275
SCRG1	0.26
HAND2	43.705
ANXA5	92.0975
ADAD1	0.0075
GUCY1A3	13.665
