GENE_NAME	human.mean
NFYA	6.7225
IBTK	13.29
IFI35	29.81
TAL1	2.375
ELAVL4	0.055
ZYG11B	5.7825
SLC1A7	1.0475
ACOT11	27.4325
FAM151A	357.45
HEATR6	3.62
PARS2	3.9525
LEXM	0.1425
BSND	14.835
USP24	10.7625
PLPP3	75.025
NOL9	4.0075
PRKAA2	5
KLHL21	19.5425
SLC45A1	4.8325
AK4	80.6375
JAK1	37.3375
RAVER2	4.36
CTRC	1.11
LZIC	10.3325
RBP7	13.33
FBLIM1	12.61
PLEKHH3	9.82
TMEM82	23.585
SLC25A34	4.9075
PDPN	2.6875
LRRC38	0.035
DHRS3	86.2475
MATN1	0.03
LAPTM5	22.925
SDC3	7.0225
PEF1	54.25
SYNC	2.21
KIAA1522	31.8275
TSSK3	1.7975
TMCO4	19.305
ALPL	147.8475
WNT4	1.1775
TTLL10	0.555
MXRA8	30.625
MEGF6	4.14
CCDC27	0.0075
IL23R	0.1075
C1orf87	0.08
NFIA	5.4725
OMA1	13.43
TM2D1	22.955
TFE3	31.73
USP1	7.195
FUBP1	32.85
NEXN	6.1275
DNAJB4	15.4
LRRC53	0
TYW3	9.65
LHX8	0.045
TBC1D25	7.3075
NTNG1	5.6975
WDR63	0.2975
ZNF326	9.3975
ACSL4	30.495
BRINP3	0.8025
GFI1	0.175
KCNT2	0.5425
EXTL2	4.93
SLC30A7	3.715
ZNF281	3.25
INPP5A	14.2225
CADM3	0.75
TRIM58	0.2575
SLAMF9	0
KCNJ9	0.0675
IGSF8	32.84
DDR2	4.025
PEA15	69.2775
NCSTN	51.26
VANGL2	2.3125
OLFML2B	2.415
FCRLB	2.1125
KLHDC9	17.245
C1orf74	3.095
LMX1A	0.0175
LRRC52	0.205
GRIPAP1	23.5975
FLVCR1	2.04
RBM15	1.88
DENND2D	27.675
AXDND1	2.0275
TDRD5	0.4425
SNED1	3.335
BPNT1	24.4925
SPATA17	3.255
C1orf115	49
BROX	12.5375
ACP6	19.3975
KIF26B	0.9725
CNST	5.3175
PPP1R21	24.725
KLHDC8A	0.1975
PM20D1	5.965
PKDCC	22.235
HAAO	93.825
B3GALNT2	4.35
MAPKAPK2	60.69
IL20	0.03
IL24	0.3525
FCMR	2.1675
PIGR	121.8525
REEP1	2.665
CAPN2	150.96
WDR26	21.6725
REL	0.9125
PUS10	2.5575
KIAA1841	13.49
ATP11A	12.075
RFTN2	1.31
DISC1	0.6725
LRRTM1	1.11
MEMO1	12.5675
DPY30	46.8475
TYW5	2.785
KCNF1	0.3775
PQLC3	15.3325
POLR1A	11.525
FAM84A	3.32
KCNJ3	4.5175
NEUROD1	0.02
FRZB	5.815
DUSP19	0.9375
CFAP36	27.755
CCDC138	0.9425
LAPTM4A	263.3675
ZSWIM2	0
FBXO41	0.35
ACTG2	15.4275
VSNL1	0.9975
COQ8A	28.5825
SLC16A14	1.04
EN1	0.0125
TTC7A	14.6925
SGCB	21.87
