GENE_NAME	human.mean
NFYA	3.14
IBTK	10.62
IFI35	16.85
TAL1	0.425
ELAVL4	0.05
ZYG11B	4.415
SLC1A7	2.56
ACOT11	1.405
FAM151A	19.265
HEATR6	1.795
PARS2	1.695
LEXM	0.06
BSND	0.025
USP24	4.68
PLPP3	39.515
NOL9	2.32
PRKAA2	0.055
KLHL21	8.61
SLC45A1	0.045
AK4	52.245
JAK1	15.45
RAVER2	0.185
CTRC	0.25
LZIC	5.88
RBP7	1.4
FBLIM1	1.965
PLEKHH3	24.96
TMEM82	22.035
SLC25A34	1.12
PDPN	0.115
LRRC38	0.03
DHRS3	244.505
MATN1	0.025
LAPTM5	12.415
SDC3	7.405
PEF1	26.725
SYNC	0.34
KIAA1522	3.605
TSSK3	1.11
TMCO4	4.6
ALPL	27.145
WNT4	1.295
TTLL10	0.31
MXRA8	5.63
MEGF6	2.08
CCDC27	0
IL23R	0.14
C1orf87	0
NFIA	14.615
OMA1	8.925
TM2D1	8.055
TFE3	8.135
USP1	1.775
FUBP1	10.545
NEXN	0.63
DNAJB4	6.96
LRRC53	0
TYW3	3.69
LHX8	0
TBC1D25	4.35
NTNG1	0.01
WDR63	0.01
ZNF326	6.59
ACSL4	2.67
BRINP3	0
GFI1	0.3
KCNT2	0.395
EXTL2	2.05
SLC30A7	1.655
ZNF281	3.615
INPP5A	10.365
CADM3	0.215
TRIM58	0.14
SLAMF9	0.335
KCNJ9	0
IGSF8	25.39
DDR2	0.575
PEA15	13.255
NCSTN	21.095
VANGL2	0.09
OLFML2B	0.32
FCRLB	0.63
KLHDC9	3.76
C1orf74	0.89
LMX1A	0.015
LRRC52	0
GRIPAP1	11.375
FLVCR1	1.335
RBM15	1.87
DENND2D	7.97
AXDND1	0.035
TDRD5	0.02
SNED1	7.3
BPNT1	10.65
SPATA17	0.845
C1orf115	50.5
BROX	2.685
ACP6	8.885
KIF26B	0.08
CNST	4.57
PPP1R21	4.305
KLHDC8A	0
PM20D1	0.035
PKDCC	9.08
HAAO	353.805
B3GALNT2	2.78
MAPKAPK2	18.87
IL20	0
IL24	0.1
FCMR	1.94
PIGR	13.4
REEP1	0.335
CAPN2	6.925
WDR26	7.85
REL	0.655
PUS10	1.93
KIAA1841	12.08
ATP11A	6.98
RFTN2	0.37
DISC1	0.615
LRRTM1	0.305
MEMO1	12.95
DPY30	29.85
TYW5	1.715
KCNF1	0
PQLC3	4.105
POLR1A	5.605
FAM84A	1.135
KCNJ3	0.655
NEUROD1	0.015
FRZB	0.59
DUSP19	0.22
CFAP36	2.91
