GENE_NAME	human.mean
NFYA	22.08
IBTK	18.94
IFI35	18.8
TAL1	9.82
ELAVL4	0
ZYG11B	9.51
SLC1A7	1.03
ACOT11	0.74
FAM151A	0.07
HEATR6	2.97
PARS2	0.49
LEXM	0.26
BSND	0.02
USP24	9.54
PLPP3	185.85
NOL9	2.36
PRKAA2	2.21
KLHL21	15
SLC45A1	0.59
AK4	3.33
JAK1	128.82
RAVER2	11.81
CTRC	0.12
LZIC	11.2
RBP7	15.47
FBLIM1	34.67
PLEKHH3	6.8
TMEM82	0
SLC25A34	0.12
PDPN	26.02
LRRC38	0
DHRS3	79.29
MATN1	1.11
LAPTM5	282.17
SDC3	21.74
PEF1	78.45
SYNC	8.32
KIAA1522	19.28
TSSK3	1.11
TMCO4	5.2
ALPL	29.14
WNT4	0.6
TTLL10	3.2
MXRA8	46.61
MEGF6	4.35
CCDC27	0
IL23R	0.24
C1orf87	10.66
NFIA	11.07
OMA1	8.23
TM2D1	35.68
TFE3	72.76
USP1	23.57
FUBP1	88.57
NEXN	14.33
DNAJB4	54.1
LRRC53	0
TYW3	8.03
LHX8	0
TBC1D25	7.46
NTNG1	4.41
WDR63	5.12
ZNF326	13.7
ACSL4	125.26
BRINP3	0.5
GFI1	3.13
KCNT2	3.06
EXTL2	6.69
SLC30A7	19.53
ZNF281	6.41
INPP5A	35.53
CADM3	5.74
TRIM58	5.26
SLAMF9	0.72
KCNJ9	0
IGSF8	16.54
DDR2	22
PEA15	361.2
NCSTN	55.06
VANGL2	9.58
OLFML2B	14.19
FCRLB	0.14
KLHDC9	7.67
C1orf74	0.41
LMX1A	0.03
LRRC52	0
GRIPAP1	21.8
FLVCR1	1.66
RBM15	5.3
DENND2D	36.95
AXDND1	0.08
TDRD5	0
SNED1	9.68
BPNT1	9.3
SPATA17	10.28
C1orf115	30.35
BROX	18.72
ACP6	5.96
KIF26B	0.3
CNST	17.36
PPP1R21	16.9
KLHDC8A	0.3
PM20D1	0.07
PKDCC	25
HAAO	6.37
B3GALNT2	5.54
MAPKAPK2	98.91
IL20	0.06
IL24	2.65
FCMR	8.24
PIGR	104.69
REEP1	4.02
CAPN2	162.85
WDR26	56.06
REL	6.12
PUS10	3.52
KIAA1841	7.06
ATP11A	36.56
RFTN2	2.26
DISC1	1.63
LRRTM1	0.17
MEMO1	14.55
DPY30	72.18
TYW5	2.54
KCNF1	0.17
PQLC3	26.93
POLR1A	2.61
FAM84A	10.51
KCNJ3	0.15
NEUROD1	0
FRZB	23.25
DUSP19	1.87
CFAP36	44.75
CCDC138	2.1
LAPTM4A	523.21
ZSWIM2	0
FBXO41	0.3
ACTG2	152.86
VSNL1	2.64
COQ8A	14.35
SLC16A14	3.52
EN1	0.04
TTC7A	20.08
SGCB	31.9
SPATA18	23.54
NOSTRIN	52.94
SGPP2	10.32
INHBB	5.7
XIRP2	0.32
SMARCAD1	4.45
HPGDS	7.42
IP6K2	30.28
PDLIM5	72
STPG2	0
NEURL3	5.19
RPRD2	8.24
ANKRD23	1.22
CTSS	186.94
MSX1	7.24
MYCBP2	20.56
TNFAIP8L2	4.62
LYSMD1	2.9
SCNM1	24.51
TMOD4	0.27
VPS72	23.36
ERCC3	10.41
RNF149	71.42
IWS1	21.78
SRBD1	6.06
SPRR3	0.25
DHX57	4.47
BMP10	0
ARHGAP25	29.58
S100A12	195.07
TGFA	5.61
TDRD10	2.88
KIF2A	15
CCNYL1	7.63
FZD5	7.82
C1orf189	3.3
NPPC	0
GNPDA2	12.45
GABRG1	0.01
GABRB1	0
PAQR3	6.4
NIPAL1	0.39
ANTXR2	39.05
HELQ	4.69
GPR155	3.4
DAPL1	2.7
PMVK	20.71
PBXIP1	77.71
CLDN1	21.35
PYGO2	17.78
HIPK1	48.33
DCST2	0.97
DCST1	0
COL6A3	61.25
KBTBD8	0.7
FAM19A4	0.38
EOGT	25.72
LMOD3	0.23
NAXE	45.24
POGLUT1	4.12
SLC22A15	2.29
CCKAR	0
ATP1A1	472.94
EIF4E3	28.73
SIRT2	32.37
PROK2	22.16
LRRC58	6.75
FSTL1	141.23
LMOD1	57.36
ELF3	265.76
IGFBP7	940.54
TRIM46	0.36
ARPC2	323.49
TSACC	0
TMEM79	1.94
SSR2	297.95
RNF25	9.01
STK36	7.43
ADORA1	0.56
NEK10	5.09
FEV	0.1
IHH	0.95
CIP2A	0.47
EOMES	4.39
TGFBR2	168.51
PYGM	2.13
ANKZF1	16.96
TRAT1	3.06
FBLN2	28.65
GLB1L	7.35
STT3B	80.9
NFASC	6.69
FCRL1	1.03
FBXL3	31.6
SERPINI1	10.53
CLASP2	14.93
SUCLG1	39.1
NUAK2	29.71
SPTA1	1.09
PRKCI	19.54
EFHB	6.5
