GENE_NAME	human.mean
NFYA	5.01
IBTK	10.73
IFI35	3.35
TAL1	0.16
ELAVL4	0
ZYG11B	77.95
SLC1A7	0.34
ACOT11	0.14
FAM151A	0
HEATR6	7.33
PARS2	2.78
LEXM	0
BSND	0
USP24	49.94
PLPP3	25.54
NOL9	10.29
PRKAA2	77.65
KLHL21	100.78
SLC45A1	0.17
AK4	1.92
JAK1	86.8
RAVER2	5.08
CTRC	0
LZIC	11.91
RBP7	4.5
FBLIM1	3.04
PLEKHH3	2.66
TMEM82	0
SLC25A34	5.05
PDPN	25.57
LRRC38	12.38
DHRS3	31.6
MATN1	0
LAPTM5	4.81
SDC3	1.05
PEF1	40.94
SYNC	94.98
KIAA1522	1.54
TSSK3	0.21
TMCO4	1.57
ALPL	0.91
WNT4	1.2
TTLL10	0.07
MXRA8	15.46
MEGF6	2.42
CCDC27	0
IL23R	0
C1orf87	0
NFIA	13.21
OMA1	10.03
TM2D1	18
TFE3	20.06
USP1	10.32
FUBP1	40.84
NEXN	538.41
DNAJB4	39.48
LRRC53	0
TYW3	3.19
LHX8	0
TBC1D25	8.61
NTNG1	0
WDR63	0
ZNF326	6.51
ACSL4	168.91
BRINP3	0
GFI1	0.02
KCNT2	0.28
EXTL2	2
SLC30A7	1.96
ZNF281	3.96
INPP5A	43.8
CADM3	0.95
TRIM58	0
SLAMF9	0
KCNJ9	0.06
IGSF8	3.39
DDR2	3.41
PEA15	33.93
NCSTN	46.63
VANGL2	0.24
OLFML2B	1.34
FCRLB	0
KLHDC9	0.24
C1orf74	0.78
LMX1A	0.17
LRRC52	0.25
GRIPAP1	7.25
FLVCR1	0.42
RBM15	6.42
DENND2D	0.46
AXDND1	0
TDRD5	0
SNED1	5.31
BPNT1	4.39
SPATA17	0.41
C1orf115	3.18
BROX	22.94
ACP6	3.77
KIF26B	0.01
CNST	21.17
PPP1R21	7.34
KLHDC8A	0
PM20D1	0.07
PKDCC	56.68
HAAO	1.21
B3GALNT2	11.74
MAPKAPK2	85.82
IL20	0
IL24	0.69
FCMR	5.55
PIGR	0
REEP1	1.78
CAPN2	107.49
WDR26	39.89
REL	1.11
PUS10	1.12
KIAA1841	5.6
ATP11A	8.5
RFTN2	2.91
DISC1	1.06
LRRTM1	0.07
MEMO1	32.28
DPY30	29.95
TYW5	1.07
KCNF1	0.01
PQLC3	7.23
POLR1A	8.05
FAM84A	0.55
KCNJ3	0.19
NEUROD1	0
FRZB	19.37
DUSP19	0.67
CFAP36	11.08
CCDC138	0.32
LAPTM4A	124.25
ZSWIM2	0
FBXO41	0.06
ACTG2	18.43
VSNL1	0
COQ8A	476.94
SLC16A14	0.32
EN1	1.34
TTC7A	1.66
SGCB	72.47
SPATA18	1.73
NOSTRIN	3.49
SGPP2	0.19
INHBB	12.03
XIRP2	712.6
SMARCAD1	3.11
HPGDS	1.09
IP6K2	9.23
PDLIM5	389.53
STPG2	0.07
NEURL3	0
RPRD2	38.54
ANKRD23	191.92
CTSS	4.31
MSX1	0.98
MYCBP2	8.31
TNFAIP8L2	0.27
LYSMD1	5.47
SCNM1	37.97
TMOD4	403.15
VPS72	70.94
ERCC3	14.39
RNF149	10.82
IWS1	23.46
SRBD1	3.95
SPRR3	0
DHX57	9.79
BMP10	0
ARHGAP25	1.27
S100A12	1.73
TGFA	0.14
TDRD10	0.22
KIF2A	4.1
CCNYL1	1.92
FZD5	1.13
C1orf189	0
NPPC	0
GNPDA2	7.07
GABRG1	0.04
GABRB1	0
PAQR3	6
NIPAL1	1
ANTXR2	23.89
HELQ	5.65
GPR155	2.05
