GENE_NAME	human.mean
NFYA	50.8833333333333
IBTK	5.29333333333333
IFI35	12.1866666666667
TAL1	2.53
ELAVL4	12.84
ZYG11B	5.93666666666667
SLC1A7	2.03666666666667
ACOT11	6.38333333333333
FAM151A	1.01333333333333
HEATR6	10.2666666666667
PARS2	8.34333333333333
LEXM	6.63333333333333
BSND	0.25
USP24	11.5166666666667
PLPP3	55.4466666666667
NOL9	7.11666666666667
PRKAA2	0.763333333333333
KLHL21	25.81
SLC45A1	3.74666666666667
AK4	10.07
JAK1	59.3433333333333
RAVER2	2.65333333333333
CTRC	1.07666666666667
LZIC	45.2266666666667
RBP7	12.9433333333333
FBLIM1	34.4433333333333
PLEKHH3	22.09
TMEM82	0.27
SLC25A34	2.04333333333333
PDPN	6.87
LRRC38	1.13666666666667
DHRS3	48.29
MATN1	0.803333333333333
LAPTM5	15.3866666666667
SDC3	6.82333333333333
PEF1	62.0533333333333
SYNC	10.99
KIAA1522	9.01666666666667
TSSK3	31.5233333333333
TMCO4	10.2533333333333
ALPL	19.7666666666667
WNT4	1.89666666666667
TTLL10	63.9433333333333
MXRA8	50.3733333333333
MEGF6	4.85
CCDC27	21.46
IL23R	0.903333333333333
C1orf87	16.2966666666667
NFIA	14.9833333333333
OMA1	8.62333333333333
TM2D1	28.72
TFE3	22.7466666666667
USP1	24.2733333333333
FUBP1	47.83
NEXN	6.14666666666667
DNAJB4	13.9233333333333
LRRC53	0.303333333333333
TYW3	11.53
LHX8	1.01
TBC1D25	25.69
NTNG1	1.47666666666667
WDR63	16.0966666666667
ZNF326	10.7833333333333
ACSL4	18.96
BRINP3	1.48333333333333
GFI1	1.4
KCNT2	1.39
EXTL2	7.7
SLC30A7	3.54
ZNF281	6.45333333333333
INPP5A	54.9933333333333
CADM3	8.8
TRIM58	4.03333333333333
SLAMF9	1.18
KCNJ9	0.516666666666667
IGSF8	69.9866666666667
DDR2	5.84
PEA15	171.383333333333
NCSTN	67.8533333333333
VANGL2	2.98
OLFML2B	53.3933333333333
FCRLB	0.31
KLHDC9	116.356666666667
C1orf74	2.74333333333333
LMX1A	2.9
LRRC52	18.9933333333333
GRIPAP1	30.1733333333333
FLVCR1	4.68
RBM15	11.37
DENND2D	19.5466666666667
AXDND1	24.6033333333333
TDRD5	19.65
SNED1	22.6133333333333
BPNT1	16.39
SPATA17	108.34
C1orf115	11.6966666666667
BROX	13.8666666666667
ACP6	11.1633333333333
KIF26B	3.12
CNST	15.3166666666667
PPP1R21	10.6
KLHDC8A	8.48333333333333
PM20D1	0.453333333333333
PKDCC	94.13
HAAO	7.77666666666667
B3GALNT2	12.4166666666667
MAPKAPK2	63.9233333333333
IL20	0.383333333333333
IL24	0.0633333333333333
FCMR	2.99333333333333
PIGR	0.413333333333333
REEP1	41.3966666666667
CAPN2	56.5866666666667
WDR26	54.6233333333333
REL	3.17666666666667
PUS10	3.51
KIAA1841	51.3233333333333
ATP11A	19.8766666666667
RFTN2	16.3766666666667
DISC1	1.90333333333333
LRRTM1	1.69
MEMO1	107.566666666667
DPY30	34.5466666666667
TYW5	3.45333333333333
KCNF1	1.08666666666667
PQLC3	17.3
POLR1A	22.2466666666667
FAM84A	18.8766666666667
KCNJ3	0.46
NEUROD1	0.87
FRZB	7.34333333333333
DUSP19	3.97666666666667
CFAP36	121.453333333333
CCDC138	6.24
LAPTM4A	324.38
ZSWIM2	6.73
FBXO41	2.56666666666667
ACTG2	108.496666666667
VSNL1	0.88
COQ8A	34.5533333333333
SLC16A14	1.39333333333333
EN1	0.286666666666667
TTC7A	133.206666666667
SGCB	17.1233333333333
SPATA18	134.556666666667
NOSTRIN	19.61
SGPP2	2.53
INHBB	38.2033333333333
XIRP2	3.37666666666667
SMARCAD1	7.00666666666667
HPGDS	0.36
IP6K2	85.1966666666667
PDLIM5	26.52
STPG2	0.953333333333333
NEURL3	0.606666666666667
RPRD2	20.8166666666667
ANKRD23	7.32333333333333
CTSS	8.43
MSX1	1.81666666666667
MYCBP2	46.9
TNFAIP8L2	1.24333333333333
LYSMD1	5.90666666666667
SCNM1	35.1833333333333
TMOD4	3.11666666666667
VPS72	45.52
ERCC3	49.41
RNF149	31.75
IWS1	24.56
SRBD1	7.72
SPRR3	0.05
DHX57	44.8833333333333
BMP10	0.13
ARHGAP25	3.37
S100A12	0.736666666666667
TGFA	3.23333333333333
TDRD10	100.696666666667
KIF2A	37.4633333333333
CCNYL1	13.9
FZD5	0.753333333333333
C1orf189	27.1533333333333
NPPC	3.51333333333333
GNPDA2	8.68666666666667
GABRG1	0.126666666666667
GABRB1	0.373333333333333
PAQR3	45.72
NIPAL1	2.08666666666667
ANTXR2	15.6566666666667
HELQ	9.51
GPR155	1.85333333333333
DAPL1	4.46
PMVK	42.0233333333333
PBXIP1	77.4866666666667
CLDN1	4.42
PYGO2	19.0566666666667
HIPK1	64.0466666666667
DCST2	20.5233333333333
DCST1	12.5233333333333
COL6A3	27.0766666666667
KBTBD8	3.94666666666667
FAM19A4	0.63
EOGT	9.21
LMOD3	0.883333333333333
NAXE	71.7766666666667
POGLUT1	4.81
SLC22A15	1.72666666666667
CCKAR	0.273333333333333
ATP1A1	207.393333333333
EIF4E3	6.17666666666667
SIRT2	58.59
PROK2	10.0466666666667
LRRC58	2.95666666666667
FSTL1	52.57
LMOD1	37.67
ELF3	2.81
IGFBP7	614.72
TRIM46	3.35333333333333
ARPC2	255.71
TSACC	1282.43333333333
TMEM79	3.92
SSR2	195.983333333333
RNF25	54.61
STK36	102.366666666667
ADORA1	35.16
NEK10	34.3933333333333
FEV	0.23
IHH	0.55
CIP2A	6.74666666666667
EOMES	0.536666666666667
TGFBR2	10.7733333333333
PYGM	26.9333333333333
ANKZF1	28.25
TRAT1	0.383333333333333
FBLN2	184.92
GLB1L	96.0266666666667
STT3B	94.4033333333333
NFASC	7.83333333333333
FCRL1	0.0466666666666667
FBXL3	24.1566666666667
SERPINI1	8.50333333333333
CLASP2	10.32
SUCLG1	49.59
NUAK2	4.73666666666667
SPTA1	2.86666666666667
PRKCI	12.1866666666667
EFHB	18.8333333333333
FABP1	1.30333333333333
ICA1L	10.3333333333333
CTLA4	1.60666666666667
ICOS	0.226666666666667
RYBP	10.3833333333333
GTPBP8	22.32
NEPRO	17.2266666666667
TRPC7	1.83333333333333
SPICE1	6.12333333333333
CCDC191	9.78666666666667
CADPS	4.87
NKX6-1	2.8
CDS1	7.19333333333333
WDFY3	13.1866666666667
COX18	7.51666666666667
SYNPR	0
ALB	24.8566666666667
C3orf49	1.93333333333333
ATXN7	33.14
PSMD6	157.793333333333
PRICKLE2	4.04333333333333
ADAMTS9	5.22
PPM1K	21.63
ERICH6	40.49
CLRN1	0.826666666666667
GMPS	118.796666666667
ADGRF5	4.29333333333333
TIPARP	39.73
CCNL1	38.77
PTX3	0.816666666666667
DCLK3	5.21
SLMAP	44.6133333333333
RPP14	15.1466666666667
ABHD6	5.86666666666667
DNASE1L3	4.45333333333333
